상품명,판매자관리코드,현재상태,사이트상태,작업날짜
군산짬뽕맛집 짬뽕라면 5입,SODW001430569,판매중,,
카페베네 블랙커피 파우치 190ml 10팩 3박스,SODW001471587,판매중,,
CJ제일제당 햇반 식후혈당조절도움밥 210g 총18개,SODW001441374,판매중,,
CJ제일제당 햇반 흑미밥 210g 3번들 3개 총9개,SODW001441733,판매중,,
CJ제일제당 만번치댄 사누끼 우동면 230g 5번들 2개 총 10개,SODW003636920,판매중,,
CJ제일제당 더건강한 닭가슴살 샐러드톡톡 ALL 96g 10개,SODW001523687,판매중,,
CJ제일제당 김처럼 밥에 싸먹는 햄 구이 한판 60g 10개,SODW001430143,판매중,,
사조 마일드참치안심따개 100g 24캔 참치캔 통조림,SODW003594215,판매중,,
농협 우리밀 백밀국수면 400g 3-4인분 3봉,SODW001054781,판매중,,
청정원 리치부어스트 할라피뇨 1kg 1개,SOJW21024,판매중,,
청정원 호밍스 언양식 바싹불고기 270g 5개,SOJW20713,판매중,,
청정원 맛선생 사골 국물내기 한알 87.5g(210개입) 5개,SOJW23338,판매중,,
청정원 안주夜 먹태열풍 스위트허니맛 25g 5개,SOJW23485,판매중,,
청정원 보크라이스야채 24g 10개,SOJW23974,판매중,,
안주夜 먹태열풍 군옥수수맛25g 5개,SOJW1000000233,판매중,,
청정원 안주야 모듬불막창 300g 3개,SOJW21892,판매중,,
청정원 고깃집 양파절임소스 300g 10개,SOJW20327,판매중,,
청정원 호밍스 기사식당 돼지불백 400g 5개,SOJW24094,판매중,,
안주夜 먹태열풍 간장데리야끼맛25g 5개,SOJW1000000234,판매중,,
크리넥스 빨아쓰는 위생행주 핑크 45매 3롤 1팩  1개,SOJW1000000663,판매중,,
